,depature_day,depature_time,depature_office,arrival_office,car_type,lead_time,unused
18991527,20190423,15,101,105,1,1026.0,
19041267,20190423,16,101,105,1,1051.0,
19089522,20190423,17,101,105,1,1048.0,
19135824,20190423,18,101,105,1,1038.0,
19178783,20190423,19,101,105,1,1167.0,
19215748,20190423,20,101,105,1,1150.0,
19246493,20190423,21,101,105,1,1008.0,
19272505,20190423,22,101,105,1,904.0,
19294295,20190423,23,101,105,1,823.0,
19317159,20190424,0,101,105,1,621.0,
19333680,20190424,1,101,105,1,628.0,
19347165,20190424,2,101,105,1,637.0,
19358949,20190424,3,101,105,1,633.0,
19370729,20190424,4,101,105,1,643.0,
19385118,20190424,5,101,105,1,653.0,
19407982,20190424,6,101,105,1,680.0,
19442428,20190424,7,101,105,1,763.0,
19486845,20190424,8,101,105,1,872.0,
19537286,20190424,9,101,105,1,862.0,
19589340,20190424,10,101,105,1,964.0,
19644710,20190424,11,101,105,1,1030.0,
19700126,20190424,12,101,105,1,958.0,
19749389,20190424,13,101,105,1,966.0,
19796864,20190424,14,101,105,1,977.0,
19845242,20190424,15,101,105,1,947.0,
19893359,20190424,16,101,105,1,891.0,
19939913,20190424,17,101,105,1,858.0,
19984991,20190424,18,101,105,1,975.0,
20027276,20190424,19,101,105,1,1038.0,
20063571,20190424,20,101,105,1,949.0,
20093814,20190424,21,101,105,1,872.0,
20119917,20190424,22,101,105,1,802.0,
20142034,20190424,23,101,105,1,752.0,
20165912,20190425,0,101,105,1,606.0,
20183553,20190425,1,101,105,1,605.0,
20198044,20190425,2,101,105,1,601.0,
20210285,20190425,3,101,105,1,597.0,
20222407,20190425,4,101,105,1,602.0,
20237770,20190425,5,101,105,1,615.0,
20262675,20190425,6,101,105,1,663.0,
20300390,20190425,7,101,105,1,757.0,
20346482,20190425,8,101,105,1,903.0,
20396882,20190425,9,101,105,1,912.0,
20450419,20190425,10,101,105,1,958.0,
20507036,20190425,11,101,105,1,1034.0,
20563564,20190425,12,101,105,1,1009.0,
20618188,20190425,13,101,105,1,949.0,
20667309,20190425,14,101,105,1,926.0,
20716527,20190425,15,101,105,1,946.0,
20765319,20190425,16,101,105,1,1212.0,
20812376,20190425,17,101,105,1,1486.0,
20858222,20190425,18,101,105,1,1679.0,
20900840,20190425,19,101,105,1,1516.0,
20937379,20190425,20,101,105,1,1431.0,
20968273,20190425,21,101,105,1,1235.0,
20994339,20190425,22,101,105,1,1083.0,
21016284,20190425,23,101,105,1,964.0,
21039962,20190426,0,101,105,1,633.0,
21057056,20190426,1,101,105,1,618.0,
21070961,20190426,2,101,105,1,616.0,
21083078,20190426,3,101,105,1,616.0,
21095504,20190426,4,101,105,1,627.0,
21110854,20190426,5,101,105,1,638.0,
21135370,20190426,6,101,105,1,664.0,
21171921,20190426,7,101,105,1,744.0,
21217771,20190426,8,101,105,1,770.0,
21268780,20190426,9,101,105,1,831.0,
21323162,20190426,10,101,105,1,915.0,
21379199,20190426,11,101,105,1,1033.0,
21433252,20190426,12,101,105,1,1032.0,
21482542,20190426,13,101,105,1,1008.0,
21532888,20190426,14,101,105,1,998.0,
